"TRACTCE","RPL_THEMES","avg_ntl","months_since_fire","month"
1800,0.6581,1.54918698666479,20,7
1800,0.6581,1.32143558871296,21,8
1800,0.6581,1.40079964467124,22,9
1800,0.6581,1.44622285044431,23,10
1800,0.6581,1.46377201443496,24,11
1900,0.4648,1.78799858224397,1,12
1900,0.4648,1.31730162343639,2,1
1900,0.4648,1.25270901938504,3,2
1900,0.4648,1.46539907465426,4,3
1900,0.4648,1.24642303469425,5,4
1900,0.4648,1.4182660193162,6,5
1900,0.4648,1.1284900338922,7,6
1900,0.4648,1.15510045548153,8,7
1900,0.4648,1.12255438809706,9,8
1900,0.4648,1.11006614657774,10,9
1900,0.4648,1.06915936894253,11,10
1900,0.4648,1.29421142316437,12,11
1900,0.4648,1.60427998269854,13,12
1900,0.4648,2.61670749385974,14,1
1900,0.4648,1.28535096643318,15,2
1900,0.4648,1.32214138902683,16,3
1900,0.4648,1.30962321373082,17,4
1900,0.4648,1.42051625358032,18,5
1900,0.4648,1.51793014476849,19,6
1900,0.4648,1.39934005337066,20,7
1900,0.4648,1.13892092643727,21,8
1900,0.4648,1.3411771066405,22,9
1900,0.4648,1.40977652793704,23,10
1900,0.4648,1.54244110592062,24,11
2000,0.5356,2.43532366948975,1,12
2000,0.5356,2.24665360244383,2,1
2000,0.5356,2.17328348076596,3,2
2000,0.5356,1.74594608626475,4,3
2000,0.5356,1.35565513389301,5,4
2000,0.5356,1.34001793162512,6,5
2000,0.5356,0.991056943369843,7,6
2000,0.5356,1.02675587547735,8,7
2000,0.5356,1.10066964996827,9,8
2000,0.5356,1.18920503216827,10,9
2000,0.5356,1.31345722951219,11,10
2000,0.5356,1.41301733949134,12,11
2000,0.5356,1.57377075515607,13,12
2000,0.5356,2.87181570564411,14,1
2000,0.5356,1.63745910926541,15,2
2000,0.5356,1.53766062404516,16,3
2000,0.5356,1.55910417856888,17,4
2000,0.5356,1.86376981544922,18,5
2000,0.5356,1.72930827294797,19,6
2000,0.5356,1.63337770394882,20,7
2000,0.5356,1.5235008710717,21,8
2000,0.5356,1.5628590086534,22,9
2000,0.5356,1.61527948661238,23,10
2000,0.5356,1.68054379795443,24,11
2100,0.5701,2.22553004473534,1,12
2100,0.5701,1.66142669158773,2,1
2100,0.5701,2.2035854763307,3,2
2100,0.5701,1.75884398298151,4,3
2100,0.5701,1.77735447028057,5,4
2100,0.5701,2.07883674763968,6,5
2100,0.5701,1.66311684584494,7,6
2100,0.5701,1.83393472718864,8,7
